learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
16588.0,0.734375,4.636466554883454E-9,16588.0,0.5183845690174804,0.012224682835983158,0.79,0.0,0.4452747252747253,3.761904761904762,0.0,1.0,0.14891766430491113,16588.0,62336.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
18096.0,0.78125,5.4086881896687885E-9,18096.0,0.483729966002914,0.011875139284860725,0.71,0.0,0.46725571725571724,2.4482758620689653,0.0,1.0,-0.17796632996633002,18096.0,63680.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
19604.0,0.8125,5.933009864141544E-9,19604.0,0.5545509342977697,0.011121567897502516,0.79,0.0,0.5491259795057264,3.761904761904762,0.0,1.0,0.14570657812824253,19604.0,64856.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
21112.0,0.859375,6.781386521955332E-9,21112.0,0.4495841995841996,0.011615823430654704,0.74,0.0,0.42690626517727054,2.8461538461538463,0.0,1.0,-0.05519415609381022,21112.0,69960.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
22620.0,0.921875,8.14538604269425E-9,22620.0,0.3709768492377188,0.004338640525656023,0.76,-0.019541206457094038,0.3152,3.347826086956522,0.0,0.987012987012987,0.030744509908944916,22620.0,84360.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
24128.0,0.9375,8.500937838107347E-9,24128.0,0.24040796503156872,1.113025916212318E-4,0.71,0.0,0.3423992229237494,2.4482758620689653,0.0,1.0,-0.1714582286957979,24128.0,87960.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
25636.0,0.984375,9.594077710062265E-9,25636.0,0.3826754385964912,0.004858628153254885,0.76,0.0,0.3929983060417843,3.1666666666666665,0.0,1.0,0.03092770515041741,25636.0,90144.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
27144.0,1.015625,1.0336419412245352E-8,27144.0,0.49066666666666664,0.013694136536736679,0.75,0.0,0.4906798245614035,3.0,0.0,1.0,-0.007123775601068696,27144.0,91824.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
28652.0,1.046875,1.1080119293183088E-8,28652.0,0.5526315789473685,0.014795529228107396,0.76,0.0,0.593035343035343,3.1666666666666665,0.0,1.0,0.03107228406368872,28652.0,91992.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
30160.0,1.078125,1.1834684604158004E-8,30160.0,0.4948764315852923,0.011986146683575283,0.79,0.0,0.5378787878787878,3.761904761904762,0.0,1.0,0.15619504396482817,30160.0,93336.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
30162.0,1.078125,1.1834684604158004E-8,30162.0,0.5034965034965035,0.01275260385404392,0.78,0.0,0.5378787878787878,3.5454545454545454,0.0,1.0,0.11607299853470088,30162.0,93336.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
