time,Average Publishing Delay
26100,12.517241379310345
26200,12.469465648854962
26300,12.422053231939163
26400,12.375
26500,12.515094339622642
26600,12.468045112781954
26700,12.42134831460674
26800,12.375
26900,12.513011152416357
27000,12.466666666666667
27100,12.420664206642066
27200,12.375
27300,12.510989010989011
27400,12.465328467153284
27500,12.42
27600,12.375
27700,12.509025270758123
27800,12.464028776978417
27900,12.419354838709678
28000,12.375
28100,12.50711743772242
28200,12.462765957446809
28300,12.418727915194346
28400,12.375
28500,12.505263157894737
28600,12.461538461538462
28700,12.418118466898955
28800,12.375
28900,12.503460207612457
29000,12.460344827586207
29100,12.417525773195877
29200,12.375
29300,12.501706484641637
29400,12.459183673469388
29500,12.416949152542372
29600,12.375
29700,12.5
29800,12.458053691275168
29900,12.41638795986622
30000,12.375
30100,12.498338870431894
