time,SSE unbounded Info Loss
15400,1431397342.7243936
15500,1442315762.9036071
15600,1454527304.8271585
15700,1464697825.6686726
15800,1474667731.0586805
15900,1484013886.0573325
16000,1494771344.3186371
16100,1504060555.4138966
16200,1512913990.2121482
16300,1523780557.2848854
16400,1535210562.4242256
16500,1546900245.9832592
16600,1556946740.7474718
16700,1567641480.2607636
16800,1577901046.5686443
16900,1587573834.5581322
17000,1597109225.9570296
17100,1606653269.3578942
17200,1616659804.7174487
17300,1627964824.6909945
17400,1640174489.1461186
17500,1650512582.1880648
17600,1660630312.2776022
17700,1669742229.0610352
17800,1679008081.720753
17900,1688583234.119092
18000,1698154617.4936092
18100,1706437257.0320537
18200,1716009023.1785877
18300,1727516945.8984149
18400,1736179519.934315
18500,1745687801.86357
18600,1755473469.3652866
18700,1766110884.129139
18800,1775643812.946211
18900,1787584761.033152
19000,1798406076.2195888
19100,1809203848.8922644
19200,1820387441.9369686
19300,1828390600.629663
19400,1836083248.5154984
19500,1846920340.1570854
19600,1857434929.3384743
19700,1868281313.2709076
19800,1879412225.853303
19900,1889085153.9709954
20000,1900318870.4949894
20100,1912694317.038203
20200,1924251201.3342183
20300,1935178060.8741443
20400,1945554139.4419596
20500,1956012644.256463
20600,1966843629.4884927
20700,1976769870.754709
20800,1987038508.4858248
20900,1995933128.035931
21000,2004024219.0012796
21100,2014618789.5187871
21200,2026436114.116273
21300,2037197577.5677407
21400,2048010247.0433908
21500,2058136991.9688158
21600,2067275270.1883662
21700,2078260343.6566799
21800,2087624369.0160875
21900,2097740576.881456
22000,2108135908.184536
22100,2120351307.0930839
22200,2131205328.254119
22300,2142441670.3813477
22400,2153658542.4141583
22500,2161112122.9107924
22600,2169241640.0925665
22700,2179236235.412557
22800,2190821021.246212
22900,2201961999.9566994
23000,2211104112.422091
23100,2220091807.6931453
23200,2229342859.9139576
23300,2238430644.2817187
23400,2247485094.010698
23500,2258056073.92833
23600,2269504318.7097244
23700,2280484879.181982
23800,2290703917.582982
23900,2300801903.8341994
24000,2312358293.371301
24100,2319272227.336637
24200,2327649696.1398664
24300,2338145823.6320505
24400,2348179844.9532022
24500,2358338534.678405
24600,2368605190.279921
24700,2378482019.5702696
24800,2388674267.2667775
24900,2406353326.4285994
25000,2425032188.31074
25100,2435102474.8292036
25200,2445515995.8088384
25300,2457077118.1642866
25400,2467169507.673774
25500,2477807851.7839427
25600,2489089592.1652083
25700,2497701276.1375356
25800,2507785659.6423054
25900,2517175050.140569
26000,2527618599.9810963
26100,2537544278.8046656
26200,2547874542.6005573
26300,2557711369.2020426
26400,2568846609.229648
26500,2577862375.4392047
26600,2584993037.8808837
26700,2595879473.3843083
26800,2605707792.814429
26900,2617049382.901656
27000,2627734840.6458993
27100,2637919500.980901
27200,2647986002.9164605
27300,2656666829.3495307
27400,2665705600.4813867
27500,2678114801.283501
27600,2688593718.7293396
27700,2699418869.0430264
27800,2710999476.080592
27900,2723033618.8900094
28000,2733977707.494595
