learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
16588.0,4.53125,1.950604071478463E-6,16588.0,0.5098752598752598,0.03223303610870809,0.74,0.0,0.40994419076610855,2.8461538461538463,0.0,1.0,-0.05681940700808636,16588.0,3238768.0,10.0,0.0,99563.9,74.3986932382254,307159.19999999995,14826.241454334342,117.6,3.9894304801005807,59.3,1.9947152400502903,59.3,1.9947152400502903,10.700000000000001,0.2603416558635552,0.0,0.0,0.0,0.0,1.0,0.0
18096.0,4.921875,2.317416623959111E-6,18096.0,0.48033025740650803,0.0313350691641367,0.72,0.048266485384092415,0.5285862785862786,2.4482758620689653,0.18569533817705186,1.0,-0.137091561938959,18096.0,3629832.0,10.0,0.0,108600.59999999999,55.10922487811527,345365.6,13995.841416649444,130.6,4.008879034232775,65.8,2.0044395171163876,65.8,2.0044395171163876,10.900000000000002,0.27688746209726933,0.0,0.0,0.0,0.0,1.0,0.0
19604.0,5.359375,2.761836254244877E-6,19604.0,0.4388020833333333,0.02301460509970127,0.64,0.0,0.42985842985842987,1.7777777777777777,0.0,1.0,-0.45965667011375366,19604.0,3926608.0,10.0,0.0,117629.6,64.50050818059918,374231.19999999995,13981.078944853365,142.8,4.708856903042749,71.9,2.3544284515213745,71.9,2.3544284515213745,11.100000000000001,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,0.0
21112.0,5.8125,3.259793415458666E-6,21112.0,0.49324324324324326,0.022870833291559478,0.74,0.0,0.4774162214667314,2.8461538461538463,0.0,1.0,-0.054991351143571045,21112.0,4247920.0,10.0,0.0,126670.5,81.32025168021364,405472.8,12351.190903264705,153.2,4.178782385123953,77.1,2.0893911925619766,77.1,2.0893911925619766,11.5,0.26874192494328497,0.0,0.0,0.0,0.0,1.0,0.0
22620.0,6.21875,3.737726559241613E-6,22620.0,0.3649893692416726,0.012186901317822407,0.83,0.0,0.3245257452574526,4.882352941176471,0.0,1.0,0.3107366911632909,22620.0,4547536.0,10.0,0.0,135684.3,93.58003704494553,434634.4000000001,12087.712037161271,165.2,3.495393794378221,83.1,1.7476968971891105,83.1,1.7476968971891105,11.9,0.37859388972001823,0.0,0.0,0.0,0.0,1.0,0.0
24128.0,6.703125,4.3471121656087535E-6,24128.0,0.5454084221207509,0.026577265711188403,0.73,0.0,0.5004960317460317,2.7037037037037037,0.0,1.0,-0.09048543689320392,24128.0,4863096.0,10.0,0.0,144730.3,86.83253998358082,465488.80000000005,12087.025209611244,175.4,3.850541087518306,88.2,1.925270543759153,88.2,1.925270543759153,11.9,0.37859388972001823,0.0,0.0,0.0,0.0,1.0,0.0
25636.0,7.0625,4.8220705422055385E-6,25636.0,0.5,0.026264064459059044,0.74,0.0,0.5844155844155844,2.8461538461538463,0.0,1.0,-0.05148446127149374,25636.0,5108696.0,10.0,0.0,153775.8,89.0911892388912,489440.8,12838.6809125133,184.6,3.9417987997585286,92.8,1.9708993998792643,92.8,1.9708993998792643,12.200000000000001,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
27144.0,7.59375,5.560167741754816E-6,27144.0,0.48106666666666664,0.02344167852409379,0.75,0.0,0.4243421052631579,3.0,0.0,1.0,-0.006974328535391153,27144.0,5370528.0,10.0,0.0,162789.69999999998,98.36915166859981,515094.39999999997,13249.88879718535,192.2,4.424176006143215,96.6,2.2120880030716075,96.6,2.2120880030716075,12.4,0.3711842908553347,0.0,0.0,0.0,0.0,1.0,0.0
28652.0,7.984375,6.133544730902132E-6,28652.0,0.5153508771929824,0.024845684520953926,0.76,0.0,0.45582120582120583,3.1666666666666665,0.0,1.0,0.031208791208791307,28652.0,5673912.0,10.0,0.0,171831.6,107.00085150232329,544698.4,14360.168618013431,203.0,4.676180777800047,102.0,2.3380903889000235,102.0,2.3380903889000235,12.5,0.34156502553198653,0.0,0.0,0.0,0.0,1.0,0.0
30160.0,8.5625,7.008013199083507E-6,30160.0,0.5183845690174804,0.02076345620513259,0.79,0.0,0.49067599067599066,3.761904761904762,0.0,1.0,0.15630744638337557,30160.0,5846888.0,10.0,0.0,180868.8,98.14771180895255,561471.2,14782.38025999572,210.99999999999997,4.066120181860509,105.99999999999999,2.0330600909302543,105.99999999999999,2.0330600909302543,13.0,0.2981423969999719,0.0,0.0,0.0,0.0,1.0,0.0
30162.0,8.71875,7.244369610109263E-6,30162.0,0.5134032634032634,0.020288100424919353,0.78,0.0,0.49067599067599066,3.5454545454545454,0.0,1.0,0.11619072988811935,30162.0,5847224.0,10.0,0.0,180880.1,98.62763304470086,561504.7999999999,14773.693928210523,210.99999999999997,4.066120181860509,105.99999999999999,2.0330600909302543,105.99999999999999,2.0330600909302543,13.0,0.2981423969999719,0.0,0.0,0.0,0.0,1.0,0.0
